City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,muang phon-hong,18.4928,102.4172,21.63,73,20,0.2,LA,1709076847
83,badagry,6.4167,2.8833,27.74,88,79,4.07,NG,1709076848
84,ribeira grande,38.5167,-28.7,16.54,72,35,4.47,PT,1709076850
85,port mathurin,-19.6833,63.4167,25.39,77,32,5.09,MU,1709076851
86,ushuaia,-54.8,-68.3,11.81,82,75,2.06,AR,1709076852
87,xai-xai,-25.0519,33.6442,23.38,70,82,5.54,MZ,1709076853
88,benghazi,32.1167,20.0667,16.85,43,58,10.66,LY,1709076855
89,sitka,57.0531,-135.33,0.94,69,100,8.75,US,1709076856
90,kunashak,55.7032,61.5498,-2.71,72,100,4.32,RU,1709076857
91,port lincoln,-34.7333,135.8667,21.52,69,52,10.16,AU,1709076858
92,codajas,-3.8367,-62.0569,23.89,89,99,0.28,BR,1709076859
93,puerto ayora,-0.7393,-90.3518,28.08,84,87,7.15,EC,1709076861
94,iqaluit,63.7506,-68.5145,-26.84,68,75,6.71,CA,1709076862
95,margaret river,-33.95,115.0667,15.55,68,99,2.72,AU,1709076863
96,constantia,44.1833,28.65,6.5,86,46,2.94,RO,1709076664
97,kayangel,8.0823,134.7173,27.21,83,98,10.92,PW,1709076865
98,bayan,46.0833,127.4,-8.46,94,99,2.07,CN,1709076867
99,bonthe,7.5264,-12.505,26.07,92,26,2.43,SL,1709076868
100,port shepstone,-30.7414,30.455,20.34,72,72,1.9,ZA,1709076869
101,berdigestyakh,62.0989,126.6992,-31.16,100,100,1.21,RU,1709076871
102,stanley,54.868,-1.6985,4.04,86,0,4.63,GB,1709076872
103,amos,48.5669,-78.1162,3.71,100,100,4.27,CA,1709076873
104,borogontsy,62.6683,131.1683,-32.1,100,100,0.76,RU,1709076874
105,kalamata,37.0389,22.1142,13.95,80,20,2.57,GR,1709076876
106,colonia,50.9333,6.95,4.38,89,75,1.03,DE,1709076639
107,sao vicente,-23.9631,-46.3919,34.1,26,98,0.45,BR,1709076768
108,papatowai,-46.5619,169.4708,12.78,80,96,1.65,NZ,1709076880
109,udachny,66.4167,112.4,-17.53,84,100,2.42,RU,1709076881
110,tianpeng,30.9866,103.9393,6.26,77,94,1.4,CN,1709076882
111,salinopolis,-0.6136,-47.3561,25.75,87,100,4.35,BR,1709076884
112,egilsstadir,65.2653,-14.3948,-4.05,68,75,3.6,IS,1709076885
113,hassi messaoud,31.6804,6.0729,12.92,35,0,4.63,DZ,1709076886
114,non thai,15.1981,102.0358,26.66,67,2,3.15,TH,1709076888
115,vila franca do campo,37.7167,-25.4333,13.23,83,20,2.5,PT,1709076889
116,parkes,-33.1333,148.1833,30.75,45,24,4.02,AU,1709076890
117,xiaoweizhai,26.1903,107.5125,3.23,87,100,1.02,CN,1709076892
118,puerto baquerizo moreno,-0.9,-89.6,26.86,73,83,5.51,EC,1709076764
119,lashio,22.9333,97.75,13.29,80,2,0.61,MM,1709076896
120,vilyuysk,63.7553,121.6247,-27.78,100,34,2.24,RU,1709076897
121,fengcheng,40.4536,124.0717,-0.86,71,56,1.24,CN,1709076898
122,morehead city,34.7229,-76.726,16.01,86,100,4.12,US,1709076900
123,portland,45.5234,-122.6762,8.03,90,100,4.12,US,1709076504
124,dodge city,37.7528,-100.0171,6.14,43,0,14.4,US,1709076904
125,mil'kovo,55.6078,37.7956,-3.78,91,89,3.76,RU,1709076905
126,khandyga,62.6667,135.6,-30.8,100,100,0.89,RU,1709076907
127,carmaux,44.051,2.158,6.15,90,100,6.31,FR,1709076908
128,klyuchi,52.2667,79.1667,-13.45,98,91,3.18,RU,1709076910
129,xapuri,-10.6517,-68.5044,23.61,98,79,1.16,BR,1709076912
130,necochea,-38.5473,-58.7368,20.01,89,0,2.27,AR,1709076914
131,talnakh,69.4865,88.3972,-10.44,94,100,5.74,RU,1709076915
132,marica,-22.9194,-42.8186,27.97,92,90,5.11,BR,1709076917
133,punta arenas,-53.15,-70.9167,13.06,82,75,5.66,CL,1709076747
134,crane,31.3974,-102.3501,25.41,22,100,11.61,US,1709076919
135,ingeniero jacobacci,-41.3427,-69.5448,18.47,48,100,9.16,AR,1709076921
136,basco,20.4487,121.9702,23.43,69,81,7.02,PH,1709076923
137,al 'amarah,31.8406,47.1396,14.46,37,100,1.41,IQ,1709076927
138,nuevitas,21.5453,-77.2644,23.46,74,23,5.72,CU,1709076928
139,meadow lakes,61.6247,-149.6011,-4.84,62,0,2.57,US,1709076929
140,thompson,55.7435,-97.8558,-20.91,49,0,4.63,CA,1709076756
141,togur,58.3631,82.8265,-13.25,94,100,2.68,RU,1709076932
142,nemuro,43.3236,145.575,-5.04,75,100,13.7,JP,1709076933
143,sassandra,4.95,-6.0833,26.41,92,96,2.16,CI,1709076934
144,sao joao da barra,-21.6403,-41.0511,24.05,94,11,3.13,BR,1709076935
145,sabha,27.0377,14.4283,19.35,16,0,6.14,LY,1709076936
146,barakani,-12.1356,44.4317,27.93,76,99,2.41,KM,1709076938
147,georgetown,5.4112,100.3354,26.96,74,20,2.57,MY,1709076939
148,hood river,45.7054,-121.5215,8.37,81,100,3.13,US,1709076730
149,nar'yan-mar,67.6713,53.087,-4.94,94,72,5.36,RU,1709076942
150,port alfred,-33.5906,26.891,18.08,73,20,5.39,ZA,1709076944
151,lebu,-37.6167,-73.65,15.76,87,77,2.8,CL,1709076946
152,laguna,38.421,-121.4238,18.05,37,0,7.72,US,1709076947
153,horta,38.5333,-28.6333,16.12,72,40,4.47,PT,1709076948
154,tralee,52.2704,-9.7026,5.77,89,100,2.44,IE,1709076950
155,dudinka,69.4058,86.1778,-10.21,92,100,9.38,RU,1709076951
156,camargo,27.6667,-105.1667,26.95,13,100,9.98,MX,1709076954
157,shitanjing,39.2342,106.3439,-6.86,50,100,1.79,CN,1709076956
158,arquitecto tomas romero pereira,-26.4833,-55.25,23.07,98,97,1.13,PY,1709076958
159,khombole,14.7667,-16.7,21.45,62,0,5.19,SN,1709076959
160,posse,-14.0931,-46.3694,22.01,78,93,0.8,BR,1709076961
161,emerald,-23.5333,148.1667,27.97,59,43,7.45,AU,1709076963
162,pilar,-9.5972,-35.9567,27.96,81,57,2.11,BR,1709076933
163,mangrol,21.1167,70.1167,22.78,40,0,4.99,IN,1709076966
164,severo-yeniseyskiy,60.3725,93.0408,-18.57,97,100,2.68,RU,1709076967
165,ust-nera,64.5667,143.2,-30.89,97,59,1.85,RU,1709076969
166,cockburn town,21.4612,-71.1419,24.06,77,31,9.52,TC,1709076970
167,yokadouma,3.5167,15.05,23.59,46,3,0.28,CM,1709076972
168,raja,8.4596,25.678,25.72,20,100,1.89,SS,1709076973
169,kyosai,34.8503,128.5886,-0.02,64,55,3.85,KR,1709076975
170,bilibino,68.0546,166.4372,-28.04,96,100,1.19,RU,1709076976
171,ulsteinvik,62.3432,5.8487,6.5,83,57,8.05,NO,1709076977
172,juneau,58.3019,-134.4197,-4.77,88,100,7.2,US,1709076978
173,ancud,-41.8697,-73.8203,13.79,97,81,4.53,CL,1709076934
174,kodiak,57.79,-152.4072,-0.27,64,40,10.8,US,1709076820
